MI2-Wide Tracker,MI2 BVA,
Brazil,"MI2 LAC Brazil TA
",
CAM,,
Cambodia,MI2 FAB Cambodia TA,
Caribbean,BI-CDP,
CARPE,MI2_13.0.CARPE_BuyIn,
Colombia,BI-COL,
East Africa Regional,MI2 FAB EAR TA,
Ecuador,MI2 LAC Ecuador TA,
Guatemala,,
Indonesia,MI2 FAB Indonesia TA,
Madagascar,BI-MAD,
Malawi,MI2 FAB Malawi TA,
Mexico,BI-MEX,
Mozambique,MI2 FAB Mozambique TA,
Nepal,BI-NEPAL,
Papua New Guinea,MI2 FAB PNG TA,
Paraguay,MI2 LAC Paraguay TA,
Peru,BI-PERU,
Philippines,MI2 FAB Philippines TA,
RDMA,MI2 FAB RDMA TA,
SAR,BI-SAR,
Senegal,MI2 FAB Senegal TA,
Southern Africa Regional,,
Tanzania,MI2 FAB Tanzania TA,
Uganda,MI2 FAB Uganda TA,
Vietnam,MI2 FAB Vietnam TA,
Zambia,MI2 FAB Zambia TA,
,MI2 FAB Ghana TA,
,MI2 FAB Field Support TA,
,"MI2 TA Coord, Forecast, Documenting, Tools, Mgmt",
,MI2 FAB Buy-in Co-Creation & Management,
2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE Learning Activities,
2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT Learning Activities,
2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,MI2 Marine Conservation Activities,
2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,MI2 LAC Cross-Mission Learning - PSE,
2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,MI2 LAC Cross-Mission Learning - CCC,
2.6 BUSHMEAT AND WILD MEAT CROSS-MISSION LEARNING GROUP PREPARATION,MI2 Bushmeat,
2.5 CROSS-MISSION LEARNING COORDINATION AND MANAGEMENT,MI2 Cross-Mission Learning Coordination & Mgmt. ,
,MI2 CE MEL Framework,
,MI2 CE TOC Manuscript,
,MI2 CWT GLAM Deliverables,
3.1 Evidence Theory to Practice,MI2 Evidence Use and Generation,
4.1 Evaluation of FAB Activities,"MI2 Goal 2 Evaluation
",
4.2 TWP/PEA,MI2 Integration,
4.3 iMEL,MI2 Integration,
4.6 OAA/PPL Engagement,MI2 OAA/PPL Engagement,
,MI2 Goal 2 Evaluation,
4.2 TWP/PEA and 4.3 iMEL,MI2 Integration,
,MI2 CRM & Gender Into OS,
,MI2 ENRM Framework,
,MI2 OAA New Partnership Initiative,
5.1 Needs Assessment and Stakeholder Engagement Strategy,MI2 Needs Assessment,
5.2 Training and Coaching,MI2 FAB Training,
5.3 Tools and Guidance,MI2 Technical Support Tools and Guidance,
5.2.2.A,MI2 Biodiversity Advisors Cohort,
5.3.1.A,MI2 Adult Learning Facilitation,
5.3.1.B,MI2 Adult Learning Facilitation,
5.3.1.C,MI2 Adult Learning Facilitation,
5.3.1.D,MI2 Adult Learning Facilitation,
5.3.2.A,MI2 Adult Learning Facilitation,
5.3.3.A,MI2 Maturity Matrix,
6.1 TDY Debriefs and Story Harvesting,MI2 TDY Debriefs,
6.3 Performance Indicator Tracking and Reporting,MI2 Performance Indicator Tracking,
,MI2 WG Meetings,
,MI2 FAB-MI2 Meetings,
7.1 Reporting,MI2 FAB Reporting & Administration,
7.2 Work Planning,MI2 FAB Work Planning,
7.3 Financial Management,MI2 FAB Financial Management,
7.4 Staffing,MI2 FAB Staffing & Recruiting,
7.5 Compliance and Contracts,MI2 FAB Compliance and Contracts,
LAC Buy-In LAC_Brazil,MI2 LAC Brazil TA,
LAC Buy-In LAC_Paraguay,MI2 LAC Paraguay TA,
LAC Buy-In LAC_Ecuador,MI2 LAC Ecuador TA,
,MI2 LAC Coordination ,
LAC Buy-In 2.4.1 Latin America And Caribbean Cross-Mission Learning Private Sector Engagement,MI2 LAC Cross-Mission Learning - PSE,
LAC Buy-In Cross-mission Learning Groups - Private Sector Engagement and Combating Conservation Crime ,MI2 LAC Cross-Mission Learning - CCC,
LAC Buy-In Evidence Use and Generation,MI2 LAC Evidence Use and Generation,
LAC Buy-In LAC Direct Field Support ,MI2_LAC Field support and innovation fund,
LAC Buy-In Business Processes & Integration,,
LAC Buy-In Capacity Development and Adult Learning,,
LAC Buy-In MI2 LAC Portfolio Learning and Adapting,,
Madagascar Buy-In Management and oversight,MI2_6.1.MAD.Management,
Madagascar Buy-In TASK A: Update CCP MEL Plan,,
Madagascar Buy-In TASK B: Support CCP CLA,MI2_6.1.MAD.TaskB_AM,
Madagascar Buy-In TASK C: Support Performance Monitoring,MI2_6.1.MAD.TaskC_HHSurvey,
Madagascar Buy-In TASK E: Project and Activity Design,MI2_6.1.MAD.TaskE_Design,
Columbia Buy-In Task 1: Management,MI2_7.1.COL.Task1_Management,
Colombia Buy-In Task 2: Conduct Amazon Activities Evaluation,MI2_7.2.COL.Task2_Evaluation,TRUE
Colombia Buy-In Task 5: Facilitate Activity Design Process,MI2_7.5.COL.Task5_Design,
Columbia Buy-In Task 3: Provide input to Tropical Forest and Biodiversity Analysis,,
Columbia Buy-In Task 4:  Contribute to the Scope of Work for Natural Resources Corruption Analysis,,
SAR Buy-In Task 1.  New Activity Design,MI2_8.1.SAR.Task1_Design,
SAR Buy-In Task 2. Start-up Workshops,MI2_8.2.SAR.Task2_StartUp,
SAR Buy-In Task 3 Pause and Reflect,MI2_8.3.SAR.Task3_PauseReflect,
SAR Buy-In Task 4. Monitoring,MI2_8.4.SAR.Task4_Monitoring,
SAR Buy-In Task 5a. Evaluation,MI2_8.5.SAR.Task5_EvaluationLearning,
SAR Buy-In Task 5b. Learning,,
SAR Buy-In Task 6. Amazon Vision Reporting,MI2_8.6.SAR.Task6_AmazonVisionReporting,
SAR Buy-In Task 7. Management,MI2_8.7.SAR.Task7_Management,
Peru Buy-In Task 1.  New Activity Design,,
Peru Buy-In Task 2. Start-up Workshops,MI2_9.2.PERU.Task2_StartUp,
Peru Buy-In Task 3 Pause and Reflect,MI2_9.3.PERU.Task3_PauseReflect,
Peru Buy-In Task 4. Monitoring,MI2_9.4.PERU.Task4_Monitoring,
Peru Buy-In Task 5a. Evaluation,MI2_9.5.PERU.Task5_EvaluationLearning,
Peru Buy-In Task 5b. Learning,,
Peru Buy-In Task 6. Amazon Vision Reporting,,
Peru Buy-In Task 7. Management,MI2_9.7.PERU.Task7_Management,
Mexico Buy-In Mexico Sustainable Landscapes Design,MI2_10.0.MEX_BuyIn,
Nepal Buy-In TASK A: NRM Portfolio Assessment,MI2_11.0.Nepal_BuyIn,
Nepal Buy-In TASK B: Activity Design and Procurement Support,MI2_11.0.Nepal_BuyIn,
Nepal Buy-In TASK C: Activity Start-Up,MI2_11.0.Nepal_BuyIn,
Nepal Buy-In TASK D: Pause and Reflect,MI2_11.0.Nepal_BuyIn,
Nepal Buy-In TASK E: Staff and Support Adaptive Management,MI2_11.0.Nepal_BuyIn,
CDP Buy-In Task A - Support Activity Design,MI2_12.0.CDP_BuyIn,
CDP Buy-In Task B - Facilitate Start-Up Workshops,MI2_12.0.CDP_BuyIn,
CDP Buy-In Task C - MEL Support,MI2_12.0.CDP_BuyIn,
CDP Buy-In Task D - Facilitate Pause and Reflect Workshops,MI2_12.0.CDP_BuyIn,
CDP Buy-In  TASK E: Staff and Support Adaptive Management,MI2_12.0.CDP_BuyIn,
"Mozambique  Buy-In Activity Design, Co-Creation, PAD Design",,
